tss-1r_m1_rtka	Epoch	ns	1.0e-9&gt;s	Time Line	Start Time for the record		support_data											
tss-1r_m1_rtka	Positive_6V_WRA_Dig_Filters_2_Voltage_volts	V	na	Positive 6V WRA Dig Filters	+6V WRA Digital Filters Monitor		data											
tss-1r_m1_rtka	Data_Quality_Positive_6V_WRA_Dig_Filters	Integer	na	Data Quality sensor 9	Data Quality Indicator for Positive 6V WRA Dig Filters		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_6V_WRA_Dig_Filters_CAL0		na	Voltage Correction; Sensor 8 s	Voltage Correction; Sensor 8 for Positive 6V WRA Dig Filters		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_6V_WRA_Dig_Filters_CAL1		na	Voltage Correction; Sensor 10	Voltage Correction; Sensor 10 for Positive 6V WRA Dig Filters		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Positive_6V_WRA_Dig_Filters_CAL2		na	Voltage Correction; Sensor 11	Voltage Correction; Sensor 11 for Positive 6V WRA Dig Filters		data											
tss-1r_m1_rtka	Negative_6V_WRA_1_Telemetry_Unitless		na	Negative 6V WRA	-6V WRA Monitor		data											
tss-1r_m1_rtka	Negative_6V_WRA_2_Voltage_volts	V	na	Negative 6V WRA	-6V WRA Monitor		data											
tss-1r_m1_rtka	Data_Quality_Negative_6V_WRA	Integer	na	Data_Quality_Negative_6V_WRA	Data Quality Indicator for Negative 6V WRA		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Negative_6V_WRA_CAL0		na	Voltage Correction; Sensor 8 s	Voltage Correction; Sensor 8 for Negative 6V WRA		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Negative_6V_WRA_CAL1		na	Voltage Correction; Sensor 10	Voltage Correction; Sensor 10 for Negative 6V WRA		data											
tss-1r_m1_rtka	Voltage_Monitor_Corrections_Negative_6V_WRA_CAL2		na	Voltage Correction; Sensor 11	Voltage Correction; Sensor 11 for Negative 6V WRA		data											
