solo_l3_swa-his-comp-10min	C6_C5_RATIO_QF			C6_C5_RATIO_QF	C6/C5 element ratio quality flag		support_data											
solo_l3_swa-his-comp-10min	O_AVE_CHARGE			O_AVE_CHARGE	Oxygen average charge		data											
solo_l3_swa-his-comp-10min	O_AVE_CHARGE_ERR			O_AVE_CHARGE_ERR	Oxygen average charge error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	O_AVE_CHARGE_QF			O_AVE_CHARGE_QF	Oxygen average charge quality flag		support_data											
solo_l3_swa-his-comp-10min	C_AVE_CHARGE			C_AVE_CHARGE	Carbon average charge		data											
solo_l3_swa-his-comp-10min	C_AVE_CHARGE_ERR			C_AVE_CHARGE_ERR	Carbon average charge error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	C_AVE_CHARGE_QF			C_AVE_CHARGE_QF	Carbon average charge quality flag		support_data											
solo_l3_swa-his-comp-10min	FE_AVE_CHARGE			FE_AVE_CHARGE	Iron average charge		data											
solo_l3_swa-his-comp-10min	FE_AVE_CHARGE_ERR			FE_AVE_CHARGE_ERR	Iron average charge error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	FE_AVE_CHARGE_QF			FE_AVE_CHARGE_QF	Iron average charge quality flag		support_data											
solo_l3_swa-his-comp-10min	FE_O_ABUN			FE_O_ABUN	Iron/Oxygen abundance		data											
solo_l3_swa-his-comp-10min	FE_O_ABUN_ERR			FE_O_ABUN_ERR	Iron/Oxygen abundance error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	FE_O_ABUN_QF			FE_O_ABUN_QF	Iron/Oxygen abundance quality flag		support_data											
solo_l3_swa-his-comp-10min	C_O_ABUN			C_O_ABUN	Carbon/Oxygen abundance		data											
solo_l3_swa-his-comp-10min	C_O_ABUN_ERR			C_O_ABUN_ERR	Carbon/Oxygen abundance error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	C_O_ABUN_QF			C_O_ABUN_QF	Carbon/Oxygen abundance quality flag		support_data											
solo_l3_swa-his-comp-10min	HE_O_ABUN			HE_O_ABUN	Helium/Oxygen abundance		data											
solo_l3_swa-his-comp-10min	HE_O_ABUN_ERR			HE_O_ABUN_ERR	Helium/Oxygen abundance error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	HE_O_ABUN_QF			HE_O_ABUN_QF	Helium/Oxygen abundance quality flag		support_data											
solo_l3_swa-his-comp-10min	MG_O_ABUN			MG_O_ABUN	Magnesium/Oxygen abundance		data											
solo_l3_swa-his-comp-10min	MG_O_ABUN_ERR			MG_O_ABUN_ERR	Magnesium/Oxygen abundance error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	MG_O_ABUN_QF			MG_O_ABUN_QF	Magnesium/Oxygen abundance quality flag		support_data											
solo_l3_swa-his-comp-10min	SI_O_ABUN			SI_O_ABUN	Silicon/Oxygen abundance		data											
solo_l3_swa-his-comp-10min	SI_O_ABUN_ERR			SI_O_ABUN_ERR	Silicon/Oxygen abundance error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	SI_O_ABUN_QF			SI_O_ABUN_QF	Silicon/Oxygen abundance quality flag		support_data											
solo_l3_swa-his-comp-10min	NE_O_ABUN			NE_O_ABUN	Neon/Oxygen abundance		data											
solo_l3_swa-his-comp-10min	NE_O_ABUN_ERR			NE_O_ABUN_ERR	Neon/Oxygen abundance error/uncertainty		support_data											
solo_l3_swa-his-comp-10min	NE_O_ABUN_QF			NE_O_ABUN_QF	Neon/Oxygen abundance quality flag		support_data											
