1183			
921	keV	Support	Other
298	keV	Wave	Intensity
6	keV	support_data	
168	keV/(cm^2 s sr keV)	Particle	NumberFlux
3	keV/e	Particle	Energy
7	keV/n	Particle	Energy
4	keV/q	Particle	Energy
12	km	Metadata	
294	km	Support	
1	km	Support	Orientation
47	km	Support	Other
7	km	Support	Position
381	km	Support	Positional
16	km    	Support	Positional
2	km/s	Mixed	AlfvenVelocity
29	km/s	Particle	FlowSpeed
87	km/s	Particle	FlowVelocity
113	km/s	Particle	ThermalSpeed
612	km/s	Particle	Velocity
144	km/s	Support	
1	km/s	Support	Orientation
4	km/s	Support	Other
14	km/s	Support	Positional
50	km/s	Support	Velocity
2	km/s	data	
2	log(cm^-3)	Wave	Intensity
4	m/s	Particle	FlowSpeed
36	m/s	Particle	Velocity
28	mA	Field	Current
416	mA	Support	Housekeeping
8	mA	Support	InstrumentMode
2	mV	Field	Magnetic
26	mV	Field	Potential
4	mV	Wave	Intensity
253	mV/m	Field	Electric
3	mV/m	Field	Potential
8	mV/m	Wave	Frequency
96	mW/(m^2 sr)	Particle	EnergyFlux
49	mW/m^2	Particle	EnergyFlux
48	mW/m^2	Particle	HeatFlux
6	m^-3	Particle	NumberDensity
24	matrix row index		
1	mbar	Particle	Pressure
13	min	Support	Temporal
3	min^-1	Support	Other
2	mrad	Support	Positional
1	ms	Metadata	
6	ms	Support	
12	ms	Support	InstrumentMode
1	ms	Support	Other
1049	ms	Support	Temporal
20	ms	support_data	
2	nA	Field	Current
179	nPa	Particle	Pressure
1486	nT	Field	Magnetic
1	nT	Field	MagneticField
26	nT	Metadata	
1	nT	Support	Orientation
3	nT	Support	Other
36	nT	Support	Positional
24	nT	Wave	ACMagneticField
32	nT    	Field	Magnetic
10	nT Re^2	Field	Magnetic
2	nT/Hz^1/2	Field	Magnetic
3	nT/s	Field	Magnetic
8	nT^1/2 Re	Field	Magnetic
8	nT^2	Field	Magnetic
11	nT^2/Hz	Field	Magnetic
34	nT^2/Hz	Wave	ACMagneticField
46	nT^2/Hz	Wave	Intensity
8	ns	Support	
2	ns	Support	InstrumentMode
1818	ns	Support	Temporal
24	ns	support	
9	ns	support_data	
16	ns    	Support	Temporal
14	pA	Field	Current
2	pA/cm^-2	Field	Current
2	pPa	Field	Magnetic
2	pPa	Mixed	TotalPressure
3	pPa	Particle	Pressure
3	pdyne-au/cm^2	Particle	Pressure
30	q	Particle	ChargeState
8	rad	Mixed	Other
2	rad	Particle	ArrivalDirection
1	rad	Support	Orientational
88	rad	Support	Positional
8	rad/s	Mixed	Other
14	rad/s	Particle	Gyrofrequency
4	rad/s	Support	
2	rad/s	Support	Orientational
26	s	Support	Other
895	s	Support	Temporal
16	s     	Support	Temporal
8	s^-1	Field	InstrumentMode
1940	s^-1	Particle	CountRate
25	s^-1	Particle	NumberFlux
13	s^-1	Support	InstrumentMode
65	s^-1	Support	Other
212	s^-1	Wave	Intensity
2	s^3/(km^3 cm^3)	Particle	PhaseSpaceDensity
32	s^3/cm^6	Particle	PhaseSpaceDensity
60	s^3/km^6	Particle	PhaseSpaceDensity
6	sec^3/cm^6	Particle	PhaseSpaceDensity
6	sec^3/km^6	Particle	PhaseSpaceDensity
6	sec^3/m^6	Particle	PhaseSpaceDensity
4	sr	Support	Other
2	u/e	Particle	Mass
12	uA	Particle	CountRate
2	ua	Support	
1	ua	Support	Position
114	ua	Support	Positional
48	ua	Support	Temporal
53	weeks	Support	Temporal
6	year	Support	Temporal
