14	degrees/sec
32	e
4185	eV
4	eV cm^-3
18	eV m^-2 s^-1 sr^-1 eV^-1
298	eV/(cm^2 s sr eV)
60	eV/(cm^2 s sr)
23	eV/(cm^2 s)
4	eV/(km/s)^2
122	eV/[eV cm^2 sr s]
1	eV/c^2
1	eV/cc
39	eV/cm2-s-ster-eV
2	eV/cm^-3
5	eV/cm^2 
30	eV/cm^2-s-sr-eV
422	eV/cm^3
4	eV/e
36	eV/eV
33	eV/q
29	eV/sr/sec
24	electrons/cm^2-s-sr-MeV
24	electrons/cm^3
1	energy index
1	energy num
9	erg/(cm^2 s)
98	erg/(cm^3 s)
1	erg/cm^2
4	erg/cm^2/s
21	erg/cm^3
6	ergs/(cm**2 str s eV
60	ergs/(cm**2-sr-s-eV)
16	ergs/(cm**2-ster-s-e
194	ev/[eV cm^2 sr s]
20	feet
2	feet/s
18	feet/sec
6	feet/sec**2
20	femto-amp
47	flag
4	fractional year
2	frames
1	gauss Re^3
1	good = 0
985	h
38	h^-1
4	hhmmsss
12	hour and decimal hour
6	index
1	index value
147	integer
18	ions/cc
243	kHz
60	kR
21	kRay
15	kV
6376	keV
33	keV cm^-2 s^-1 sr^-1 keV^-1
192	keV/(cm^2 s sr keV)
4	keV/(cm^2 s)
136	keV/cm^2-s-str-keV
14	keV/e
6	keV/micron
25	keV/n
4	keV/nuc
21	keV/q
6	keV/s-cm2-sr-keV
15	keV/s-cm2-sr-keV/q
1	keV/sec
284	keV^-1 s^-1
4	kilofeet
4	kilometer
2201	km
30	km per sec
3	km s-1
146	km s^-1
2626	km/s
2	km/s (w/o error bars)
2	km/s (with error bars)
16	km/s * cm^-3
1	km_s
2	lb/in^2
57	ln(#protons/cm^2.s.sr.MeV)
1	log(#protons/cm^2.s.sr.MeV)
2	log(Ne/cm-3)
2	log(Torr)
2	log(cm^-3)
2	log10(#/c2-str-keV-s)
1	lunar radii
64	m
734	m/s
4	m/s**2
1	m/sec  (+up)
6	m2-eV-ster-sec
533	mA
5	mHz
306	mV
13	mV RMS
3	mV m-1
22	mV!u2!n/m!u2!n/Hz
544	mV/m
18	mV/m pT/Hz
20	mV^2 m^-2 Hz^-1
77	mV^2/m^2/Hz
128	mW/(m^2 sr)
4	mW/m!U2!N
165	mW/m^2
12	m^-2 s^-1 sr^-1 eV^-1
9	m^-3
1	mainstream
12	mbar
3	meter
2	meters/s
66	meters/sec
6	meters/sec**2
4	micro.
4	microW m^-2
18	microseconds
12	milli-g
32	milliamps
4	millimaps/m
6	millisecond
79	min
20	min^-1
4	mm
15	mol/cm^3
1	molecules/cm^3
64	months
19	mrad
3487	ms
8	n/(cm^2 s sr)
25	nA
356	nPa
4940	nT
5	nT (All Q's)
32	nT (all flags)
5	nT DSL (All Q's)
15	nT DSL (All Qs)
5	nT GSE (All Q's)
15	nT GSE (All Qs)
5	nT GSM (All Q's)
15	nT GSM (All Qs)
3	nT RMS
20	nT R_E^2
5	nT SSL (All Q's)
10	nT SSL (All Qs)
45	nT V/m Hz^-1
12	nT!u2!n/Hz
7	nT/Hz^1/2
3	nT/s
10	nT^2
440	nT^2/Hz
8	nT^2/Re^2
3	nT^2/s
32	nT^{2}/Hz
2	nT_mag/nT_SCM
8	nW/m!u2!n/Hz
6	nanoTesla
1	nanogray
25	nanosec
206	nanoseconds
4	nautical miles
22	newtons
24	nm
3	no value=good
6	no./m^3
5213	ns
1	nsec
1	nt
4	num sector
4	num sectors
4	num spins in sum
1	number/cm-3
2	ohms
3	orbit
30	pA
2	pA*cm**-2
7	pPa
12	pT/Hz
17	pT^2/Hz
584	particles / (s cm^2 sr MeV)
584	particles / (s cm^2 sr MeV/n)
19	particles cm^-3
80	particles/[cm^2*second*steradian*MeV/nucleon)]
52	particles/[cm^2*second*steradian*MeV/nucleon]
8	particles/m^2  sec sr
2	particles/m^2  sec sr MeV
68	particles/m^2  sec sr MeV/N
4	pascals
7	pdyne-au/cm^2
10	per cc
28	percent_error
78	ph/cm^3/s
640	phase-space density
8	photons cm^-2 s^-1
44	ps
8	ps (pico-second)
374	rad
169	rad/s
12	rad^2
2	radian
4	radians/s
2	radians/s**2
4	radians/sec
8	rads/sec
27	raw counts
3	rclk
6	retarding potential: 1-increasing,2-decreasing
5726	s
1203	s^-1
16	s^3 / km^6
10	s^3 km^-6
56	s^3 m^-6
2	s^3/(km^3 cm^3)
24	s^3/cm^6
754	s^3/km^6
17	samples
6	sec**3/cm**6
22	sec**3/km**6
66	sec**3/m**6
1	second
3	seconds (All Q)
3	seconds (good Q)
4	seconds since 0 AD
104	seconds since 1970-01-01 00:00:00
3	seconds since 1970-01-01T00:00:00Z
180	seconds since 2000-01-01 12:00:00
12	sector index
56	segment
23	sfu
2	solar radii
1	sp num
2	step
34	ster
18	string
1	torr
1	turns
32	u
1	uA/bit
3	uGray/hr
6	uGray/hr (All Q)
6	uGray/hr (good Q)
348	uV**2
1036	uV**2/Hz
3	uW/m^2
308	ua
3	ua^-2
4	uamps
3	unitless scalars
3	units
10	us
2	usec
9	vmr
214	volt
2	watts
4	watts/hr
6	x units
9	x-rays/keV-s
6	y units
64	years
11	yr
6	z units
1	{H, C, I]
1	{R, T, N]
