Astro	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	units	units_conversion	name	description	measurement_type	parameter_keyword	type	quantity	qualifier	instrument_id_000	instrument_id_001	coordinate_system_name	coordinate_representation	element__name_0	element__name_1	element__name_2	element__name_3
Astro	CDF_REAL4	1	1:[16]	T/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Alpha_Flux	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Alpha Flux	High energy particle flux in magnet channel		data											
Astro	CDF_REAL4	1	1:[16]	T/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Alpha_Uncertainty	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Alpha Flux Uncertainty	Uncertainty in alpha flux		support_data											
Astro	CDF_REAL4	1	1:[16]	T/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Alpha_Rate	counts / s		Alpha Count Rate	High energy particle count rate in magnet channel		support_data											
Astro	CDF_REAL4	1	1:[16]	F/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Alpha_Bins_Low_Energy	MeV	1.602e-13&gt;J	Alpha Bins Low Energy	Lowest energy of each bin for alpha flux		support_data											
Astro	CDF_REAL4	1	1:[16]	F/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Alpha_Bins_Width	MeV	1.602e-13&gt;J	Alpha Bins Width	Width of each energy bin for alpha flux		support_data											
Astro	CDF_CHAR	25	1:[16]	F/T	OOOOO	solo_l2_epd-ept-asun-burst-ion	Alpha_Bins_Text			Alpha Bins Text	Text description of each energy bin for alpha flux		metadata											
Astro	CDF_UINT1	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-burst-ion	QUALITY_FLAG			Quality flag	Data quality flag		support_data											
Astro	CDF_UINT2	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-burst-ion	QUALITY_BITMASK			Quality bitmask	Computer readable quality parameter		support_data											
Astro	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	units	units_conversion	name	description	measurement_type	parameter_keyword	type	quantity	qualifier	instrument_id_000	instrument_id_001	coordinate_system_name	coordinate_representation	element__name_0	element__name_1	element__name_2	element__name_3
Astro	CDF_TT2000	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-hcad	EPOCH	nanoseconds		Epoch	Nanoseconds since J2000		support_data											
Astro	CDF_UINT4	1	0:[]	T/	OOOOO	solo_l2_epd-ept-asun-hcad	DELTA_EPOCH	s		Delta epoch	Accumulation period in seconds		support_data											
Astro	CDF_REAL4	1	1:[12]	T/T	OOOOO	solo_l2_epd-ept-asun-hcad	Ion_Flux	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Ion Flux	Particle flux in magnet channel		data											
Astro	CDF_REAL4	1	1:[12]	T/T	OOOOO	solo_l2_epd-ept-asun-hcad	Ion_Uncertainty	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Ion Flux Uncertainty	Uncertainty in ion flux		support_data											
Astro	CDF_REAL4	1	1:[12]	T/T	OOOOO	solo_l2_epd-ept-asun-hcad	Ion_Rate	counts / s		Ion Count Rate	Particle count rate in magnet channel		support_data											
Astro	CDF_REAL4	1	1:[12]	F/T	OOOOO	solo_l2_epd-ept-asun-hcad	Ion_Bins_Low_Energy	MeV	1.602e-13&gt;J	Ion Bins Low Energy	Lowest energy of each bin for ion flux		support_data											
Astro	CDF_REAL4	1	1:[12]	F/T	OOOOO	solo_l2_epd-ept-asun-hcad	Ion_Bins_Width	MeV	1.602e-13&gt;J	Ion Bins Width	Width of each energy bin for ion flux		support_data											
Astro	CDF_CHAR	25	1:[12]	F/T	OOOOO	solo_l2_epd-ept-asun-hcad	Ion_Bins_Text			Ion Bins Text	Text description of each energy bin for ion flux		metadata											
Astro	CDF_REAL4	1	1:[17]	T/T	OOOOO	solo_l2_epd-ept-asun-hcad	Electron_Flux	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Electron Flux	Particle flux in foil channel		data											
Astro	CDF_REAL4	1	1:[17]	T/T	OOOOO	solo_l2_epd-ept-asun-hcad	Electron_Uncertainty	particles / (s cm^2 sr MeV)	6.2415e16&gt;particles/(s m^2 sr J)	Electron Flux Uncertainty	Uncertainty in electron flux		support_data											
Astro	CDF_REAL4	1	1:[17]	T/T	OOOOO	solo_l2_epd-ept-asun-hcad	Electron_Rate	counts / s		Electron Count Rate	Particle count rate in foil channel		support_data											
Astro	CDF_REAL4	1	1:[17]	F/T	OOOOO	solo_l2_epd-ept-asun-hcad	Electron_Bins_Low_Energy	MeV	1.602e-13&gt;J	Electron Bins Low Energy	Lowest energy of each bin for electron flux		support_data											
