xml_prefix	data_product_id                                       	mission_name                                                                                             	mission_name_acronym     	instrument                                                                                                                                                                               	instrument_acronym                                 	instrument_detail                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           	processing_level  	processing_level_acronym	time_resolution                	relative_stop_date	hyphen	pi_name                                                                                                	pi_institution                                                                                                                                                                                                                      	xml_suffix
<dd>      	MMS1_EDP_FAST_L2A_DCE2D                              	Magnetospheric Multiscale                                                                                	MMS 1                    	Electric Double Probe                                                                                                                                                                    	EDP                                                	Two-Dimensional Electric Field, Level 2A, Fast Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 	Level 2           	(L2)                    	99999.99999 second             		-     	J. Burch, R. Ergun, P. Lindqvist                                                                       	(Southwest Research Institute; Laboratory of Atmospheric and Space Physics, University of Colorado, Boulder; Swedish Royal Institute of Technology)                                                                                 	</dd>     
<dd>      	MMS1_EDP_FAST_L2_DCE                                 	Magnetospheric Multiscale                                                                                	MMS 1                    	Electric Double Probe                                                                                                                                                                    	EDP                                                	Three-Dimensional Electric Field, Quick-Look, Fast Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             	Level 2           	(L2)                    	99999.99999 second             		-     	J. Burch, R. Ergun, P. Lindqvist                                                                       	(Southwest Research Institute; Laboratory of Atmospheric and Space Physics, University of Colorado, Boulder; Swedish Royal Institute of Technology)                                                                                 	</dd>     
<dd>      	MMS1_EDP_FAST_L2_SCPOT                               	Magnetospheric Multiscale                                                                                	MMS 1                    	Electric Double Probe                                                                                                                                                                    	EDP                                                	Spacecraft Potential, Fast Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     	Level 2           	(L2)                    	99999.99999 second             		-     	J. Burch, R. Ergun, P. Lindqvist                                                                       	(Southwest Research Institute; Laboratory of Atmospheric and Space Physics, University of Colorado, Boulder; Swedish Royal Institute of Technology)                                                                                 	</dd>     
<dd>      	MMS1_EDP_SLOW_L2A_DCE2D                              	Magnetospheric Multiscale                                                                                	MMS 1                    	Electric Double Probe                                                                                                                                                                    	EDP                                                	Two-Dimensional Electric Field, Level 2A, Slow Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 	Level 2           	(L2)                    	99999.99999 second             		-     	J. Burch, R. Ergun, P. Lindqvist                                                                       	(Southwest Research Institute; Laboratory of Atmospheric and Space Physics, University of Colorado, Boulder; Swedish Royal Institute of Technology)                                                                                 	</dd>     
<dd>      	MMS1_EDP_SLOW_L2_DCE                                 	Magnetospheric Multiscale                                                                                	MMS 1                    	Electric Double Probe                                                                                                                                                                    	EDP                                                	Three-Dimensional Electric Field, Quick-Look, Slow Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             	Level 2           	(L2)                    	99999.99999 second             		-     	J. Burch, R. Ergun, P. Lindqvist                                                                       	(Southwest Research Institute; Laboratory of Atmospheric and Space Physics, University of Colorado, Boulder; Swedish Royal Institute of Technology)                                                                                 	</dd>     
<dd>      	MMS1_EDP_SLOW_L2_SCPOT                               	Magnetospheric Multiscale                                                                                	MMS 1                    	Electric Double Probe                                                                                                                                                                    	EDP                                                	Spacecraft Potential, Slow Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     	Level 2           	(L2)                    	99999.99999 second             		-     	J. Burch, R. Ergun, P. Lindqvist                                                                       	(Southwest Research Institute; Laboratory of Atmospheric and Space Physics, University of Colorado, Boulder; Swedish Royal Institute of Technology)                                                                                 	</dd>     
<dd>      	MMS1_EDP_SRVY_L2_HFESP                               	Magnetospheric Multiscale                                                                                	MMS 1                    	Axial Double Probe, Spin Plane Double Probe                                                                                                                                              	ADP-SDP                                            	Electric Double Probe, High-Frequency Electric Field Spectra, Level 2, Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                         	Level 2           	(L2)                    	99999.99999 second             		-     	J. Burch, R. Ergun, P. Lindqvist                                                                       	(Southwest Research Institute; Laboratory of Atmospheric and Space Physics, University of Colorado, Boulder; Swedish Royal Institute of Technology)                                                                                 	</dd>     
<dd>      	MMS1_EPD-EIS_BRST_L2_ELECTRONENERGY                  	Magnetospheric Multiscale                                                                                	MMS 1                    	Energetic Particle Detector, Energetic Ion Spectrometer                                                                                                                                   	EPD-EIS                                            	Electron Energy Spectra, Level 2, Burst Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                            	Level 2           	(L2)                    	99999.99999 second             		-     	B. Mauk                                                                                                	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
<dd>      	MMS1_EPD-EIS_BRST_L2_EXTOF                           	Magnetospheric Multiscale                                                                                	MMS 1                    	Energetic Particle Detector, Energetic Ion Spectrometer                                                                                                                                   	EPD-EIS                                            	Energy by Time of Flight, Level 2, Burst Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                            	Level 2           	(L2)                    	99999.99999 second             		-     	B. Mauk                                                                                                	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
<dd>      	MMS1_EPD-EIS_BRST_L2_PHXTOF                          	Magnetospheric Multiscale                                                                                	MMS 1                    	Energetic Particle Detector, Energetic Ion Spectrometer                                                                                                                                   	EPD-EIS                                            	Pulse Height by Time of Flight, Level 2, Burst Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                      	Level 2           	(L2)                    	99999.99999 second             		-     	B. Mauk                                                                                                	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
<dd>      	MMS1_EPD-EIS_SRVY_L2_ELECTRONENERGY                  	Magnetospheric Multiscale                                                                                	MMS 1                    	Energetic Particle Detector, Energetic Ion Spectrometer                                                                                                                                   	EPD-EIS                                            	Electron Energy Spectra, Level 2, Quick-Look Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                       	Level 2           	(L2)                    	99999.99999 second             		-     	B. Mauk                                                                                                	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
<dd>      	MMS1_EPD-EIS_SRVY_L2_EXTOF                           	Magnetospheric Multiscale                                                                                	MMS 1                    	Energetic Particle Detector, Energetic Ion Spectrometer                                                                                                                                   	EPD-EIS                                            	Energy by Time of Flight, Level 2, Quick-Look Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                       	Level 2           	(L2)                    	99999.99999 second             		-     	B. Mauk                                                                                                	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
<dd>      	MMS1_EPD-EIS_SRVY_L2_PARTENERGY                      	Magnetospheric Multiscale                                                                                	MMS 1                    	Energetic Particle Detector, Energetic Ion Spectrometer                                                                                                                                   	EPD-EIS                                            	Particle Energy Spectra, Level 2, Quick-Look Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                       	Level 2           	(L2)                    	99999.99999 second             		-     	B. Mauk                                                                                                	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
<dd>      	MMS1_EPD-EIS_SRVY_L2_PHXTOF                          	Magnetospheric Multiscale                                                                                	MMS 1                    	Energetic Particle Detector, Energetic Ion Spectrometer                                                                                                                                   	EPD-EIS                                            	Pulse Height by Time of Flight, Level 2, Quick-Look Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                 	Level 2           	(L2)                    	99999.99999 second             		-     	B. Mauk                                                                                                	(Johns Hopkins University, Applied Physics Laboratory)                                                                                                                                                                              	</dd>     
<dd>      	MMS1_FEEPS_BRST_L2_ELECTRON                          	Magnetospheric Multiscale                                                                                	MMS 1                    	Electric Particle Detector, Fly&apos;s Eye Energetic Particle Sensor                                                                                                                     	EPD, FEEPS                                         	Electrons, Burst Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               	Level 2           	(L2)                    	99999.99999 second             		-     	D. Baker                                                                                               	(Laboratory of Atmospheric and Space Physics, University of Colorado, Boulder)                                                                                                                                                      	</dd>     
<dd>      	MMS1_FEEPS_BRST_L2_ION                               	Magnetospheric Multiscale                                                                                	MMS 1                    	Electric Particle Detector, Fly&apos;s Eye Energetic Particle Sensor                                                                                                                     	EPD, FEEPS                                         	Ions, Burst Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    	Level 2           	(L2)                    	99999.99999 second             		-     	D. Baker                                                                                               	(Laboratory of Atmospheric and Space Physics, University of Colorado, Boulder)                                                                                                                                                      	</dd>     
<dd>      	MMS1_FEEPS_RAW_L2_ELECTRON                           	Magnetospheric Multiscale                                                                                	MMS 1                    	Electric Particle Detector, Fly&apos;s Eye Energetic Particle Sensor                                                                                                                     	EPD, FEEPS                                         	Electrons, Raw Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   	Level 1B          	(L1B)                   	99999.99999 second             		-     	D. Baker                                                                                               	(Laboratory of Atmospheric and Space Physics, University of Colorado, Boulder)                                                                                                                                                      	</dd>     
<dd>      	MMS1_FEEPS_RAW_L2_ION                                	Magnetospheric Multiscale                                                                                	MMS 1                    	Electric Particle Detector, Fly&apos;s Eye Energetic Particle Sensor                                                                                                                     	EPD, FEEPS                                         	Ions, Raw Data                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Level 1B          	(L1B)                   	99999.99999 second             		-     	D. Baker                                                                                               	(Laboratory of Atmospheric and Space Physics, University of Colorado, Boulder)                                                                                                                                                      	</dd>     
<dd>      	MMS1_FEEPS_SRVY_L2_ELECTRON                          	Magnetospheric Multiscale                                                                                	MMS 1                    	Electric Particle Detector, Fly&apos;s Eye Energetic Particle Sensor                                                                                                                     	EPD, FEEPS                                         	Electrons, Quick-Look Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          	Level 2           	(L2)                    	99999.99999 second             		-     	D. Baker                                                                                               	(Laboratory of Atmospheric and Space Physics, University of Colorado, Boulder)                                                                                                                                                      	</dd>     
<dd>      	MMS1_FEEPS_SRVY_L2_ION                               	Magnetospheric Multiscale                                                                                	MMS 1                    	Electric Particle Detector, Fly&apos;s Eye Energetic Particle Sensor                                                                                                                     	EPD, FEEPS                                         	Ions, Quick-Look Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               	Level 2           	(L2)                    	99999.99999 second             		-     	D. Baker                                                                                               	(Laboratory of Atmospheric and Space Physics, University of Colorado, Boulder)                                                                                                                                                      	</dd>     
<dd>      	MMS1_FGM_BRST_L2                                     	Magnetospheric Multiscale                                                                                	MMS 1                    	Flux Gate Magnetometer                                                                                                                                                                   	FGM                                                	DC Magnetic Field, Level 2, Burst Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              	Level 2           	(L2)                    	0.0078125 second               		-     	J. L. Burch, C. T. Russell, W. Magnus                                                                  	(Southwest Research Institute; University of California, Los Angeles; Space Research Institute, Austrian Academy of Sciences)                                                                                                       	</dd>     
<dd>      	MMS1_FGM_SRVY_L2                                     	Magnetospheric Multiscale                                                                                	MMS 1                    	Flux Gate Magnetometer                                                                                                                                                                   	FGM                                                	Combined Fast/Slow Survey DC Magnetic Field, Level 2, Quick-Look Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                               	Level 2           	(L2)                    	0.0625 second                  		-     	J. L. Burch, C. T. Russell, W. Magnus                                                                  	(Southwest Research Institute; University of California, Los Angeles; Space Research Institute, Austrian Academy of Sciences)                                                                                                       	</dd>     
<dd>      	MMS1_FPI_BRST_L2_DES-DIST                            	Magnetospheric Multiscale                                                                                	MMS 1                    	Fast Plasma Investigation, Dual Electron Spectrometer                                                                                                                                    	FPI, DES                                           	Instrument Distributions, Burst Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                	Level 2           	(L2)                    	0.03 second                    		-     	J. Burch, C. Pollock                                                                                   	(Southwest Research Institute; NASA GSFC)                                                                                                                                                                                           	</dd>     
<dd>      	MMS1_FPI_BRST_L2_DES-MOMS                            	Magnetospheric Multiscale                                                                                	MMS 1                    	Fast Plasma Investigation, Dual Electron Spectrometer                                                                                                                                    	FPI, DES                                           	Distribution Moments, Burst Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    	Level 2           	(L2)                    	0.03 second                    		-     	J. Burch, C. Pollock                                                                                   	(Southwest Research Institute; NASA GSFC)                                                                                                                                                                                           	</dd>     
<dd>      	MMS1_FPI_BRST_L2_DIS-DIST                            	Magnetospheric Multiscale                                                                                	MMS 1                    	Fast Plasma Investigation, Dual Ion Spectrometer                                                                                                                                         	FPI, DIS                                           	Instrument Distributions, Burst Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                	Level 2           	(L2)                    	0.15 second                    		-     	J. Burch, C. Pollock                                                                                   	(Southwest Research Institute; NASA GSFC)                                                                                                                                                                                           	</dd>     
<dd>      	MMS1_FPI_BRST_L2_DIS-MOMS                            	Magnetospheric Multiscale                                                                                	MMS 1                    	Fast Plasma Investigation, Dual Ion Spectrometer                                                                                                                                         	FPI, DIS                                           	Distribution Moments, Burst Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    	Level 2           	(L2)                    	0.15 second                    		-     	J. Burch, C. Pollock                                                                                   	(Southwest Research Institute; NASA GSFC)                                                                                                                                                                                           	</dd>     
<dd>      	MMS1_FPI_FAST_L2_DES-DIST                            	Magnetospheric Multiscale                                                                                	MMS 1                    	Fast Plasma Investigation, Dual Electron Spectrometer                                                                                                                                    	FPI, DES                                           	Instrument Distributions, Fast Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 	Level 2           	(L2)                    	4.5 second                     		-     	J. Burch, C. Pollock                                                                                   	(Southwest Research Institute; NASA GSFC)                                                                                                                                                                                           	</dd>     
<dd>      	MMS1_FPI_FAST_L2_DES-MOMS                            	Magnetospheric Multiscale                                                                                	MMS 1                    	Fast Plasma Investigation, Dual Electron Spectrometer                                                                                                                                    	FPI, DES                                           	Distribution Moments, Fast Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     	Level 2           	(L2)                    	4.5 second                     		-     	J. Burch, C. Pollock                                                                                   	(Southwest Research Institute; NASA GSFC)                                                                                                                                                                                           	</dd>     
<dd>      	MMS1_FPI_FAST_L2_DIS-DIST                            	Magnetospheric Multiscale                                                                                	MMS 1                    	Fast Plasma Investigation, Dual Ion Spectrometer                                                                                                                                         	FPI, DIS                                           	Instrument Distributions, Fast Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 	Level 2           	(L2)                    	4.5 second                     		-     	J. Burch, C. Pollock                                                                                   	(Southwest Research Institute; NASA GSFC)                                                                                                                                                                                           	</dd>     
<dd>      	MMS1_FPI_FAST_L2_DIS-MOMS                            	Magnetospheric Multiscale                                                                                	MMS 1                    	Fast Plasma Investigation, Dual Ion Spectrometer                                                                                                                                         	FPI, DIS                                           	Distribution Moments, Fast Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     	Level 2           	(L2)                    	0.15 second                    		-     	J. Burch, C. Pollock                                                                                   	(Southwest Research Institute; NASA GSFC)                                                                                                                                                                                           	</dd>     
<dd>      	MMS1_HPCA_BRST_L2_ION                                	Magnetospheric Multiscale                                                                                	MMS 1                    	Hot Plasma Composition Analyzer                                                                                                                                                          	HPCA                                               	Ions, Level 2, Burst Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           	Level 2           	(L2)                    	0.625 second                   		-     	J. Burch, S. Fuselier                                                                                  	(Southwest Research Institute)                                                                                                                                                                                                      	</dd>     
<dd>      	MMS1_HPCA_BRST_L2_MOMENTS                            	Magnetospheric Multiscale                                                                                	MMS 1                    	Hot Plasma Composition Analyzer                                                                                                                                                          	HPCA                                               	Moments, Level 2, Burst Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        	Level 2           	(L2)                    	10 second                      		-     	J. Burch, S. Fuselier                                                                                  	(Southwest Research Institute)                                                                                                                                                                                                      	</dd>     
<dd>      	MMS1_HPCA_SRVY_L2_ION                                	Magnetospheric Multiscale                                                                                	MMS 1                    	Hot Plasma Composition Analyzer                                                                                                                                                          	HPCA                                               	Ions, Level 2, Quick-Look Survey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      	Level 2           	(L2)                    	0.625 second                   		-     	J. Burch, S. Fuselier                                                                                  	(Southwest Research Institute)                                                                                                                                                                                                      	</dd>     
