ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates300	HCI_R	HCI_R	Spacecraft Position, Radial Distance at timestamp	Spacecraft position, radial distance at timestamp. See Franz and Harper, PSS, 2002.	ua	0.04	1.03	0.04	1.03	-1.0e+31	Epoch	F5.3	Pos_R	support_data						linear		position&gt;radial											HCI_R	1.495978E11&gt;m					
ASTRO	CDF_FLOAT	1	2:[1,25]	T/TT	OOOOO	psp_isois-epihi_l2-het-rates300	A_FeGroup_SECT_Rate	A_FeGroup_SECT_Rate	FeGroup sectored count rate side A		counts s!E-1!N	0.0001	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	FeGroup rate A	data	spectrogram		FeGroup_SECT_ENERGY	FeGroup_SECT_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate	HET_R17_SECTORS		HET_R17_SECTORS_LABL								A_FeGroup_SECT&gt;rate						
ASTRO	CDF_FLOAT	1	1:[1]	F/T	OOOOO	psp_isois-epihi_l2-het-rates300	FeGroup_SECT_ENERGY	FeGroup_SECT_ENERGY	Energy Bins for FeGroup SECT	Bin characteristic energy.	MeV/n			0.0	1000.0	-1.0		F6.1	Energy	support_data						log										FeGroup_SECT_ENERGY_DELTAMINUS	FeGroup_SECT_ENERGY_DELTAPLUS								
ASTRO	CDF_CHAR	18	1:[1]	F/T	OOOOO	psp_isois-epihi_l2-het-rates300	FeGroup_SECT_ENERGY_LABL	FeGroup_SECT_ENERGY_LABL	Fegroup Sect									A18		metadata																									
ASTRO	CDF_FLOAT	1	1:[1]	F/T	OOOOO	psp_isois-epihi_l2-het-rates300	FeGroup_SECT_ENERGY_DELTAMINUS	FeGroup_SECT_ENERGY_DELTAMINUS	Minus values for Energy Bins for FeGroup SECT	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Energy lower extent	support_data						log																			
ASTRO	CDF_FLOAT	1	1:[1]	F/T	OOOOO	psp_isois-epihi_l2-het-rates300	FeGroup_SECT_ENERGY_DELTAPLUS	FeGroup_SECT_ENERGY_DELTAPLUS	Plus values for Energy Bins for FeGroup SECT	[bin_top] - [geometric mean] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Energy upper extent	support_data						log																			
ASTRO	CDF_FLOAT	1	2:[2,25]	T/TT	OOOOO	psp_isois-epihi_l2-het-rates300	B_CNO_SECT_Rate	B_CNO_SECT_Rate	CNO sectored count rate side B		counts s!E-1!N	0.0001	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	CNO rate B	data	spectrogram		CNO_SECT_ENERGY	CNO_SECT_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate	HET_R17_SECTORS		HET_R17_SECTORS_LABL								B_CNO_SECT&gt;rate						
ASTRO	CDF_FLOAT	1	1:[2]	F/T	OOOOO	psp_isois-epihi_l2-het-rates300	CNO_SECT_ENERGY	CNO_SECT_ENERGY	Energy Bins for CNO SECT	Bin characteristic energy.	MeV/n			0.0	1000.0	-1.0		F6.1	Energy	support_data						log										CNO_SECT_ENERGY_DELTAMINUS	CNO_SECT_ENERGY_DELTAPLUS								
ASTRO	CDF_CHAR	18	1:[2]	F/T	OOOOO	psp_isois-epihi_l2-het-rates300	CNO_SECT_ENERGY_LABL	CNO_SECT_ENERGY_LABL	Cno Sect									A18		metadata																									
ASTRO	CDF_FLOAT	1	1:[2]	F/T	OOOOO	psp_isois-epihi_l2-het-rates300	CNO_SECT_ENERGY_DELTAMINUS	CNO_SECT_ENERGY_DELTAMINUS	Minus values for Energy Bins for CNO SECT	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Energy lower extent	support_data						log																			
ASTRO	CDF_FLOAT	1	1:[2]	F/T	OOOOO	psp_isois-epihi_l2-het-rates300	CNO_SECT_ENERGY_DELTAPLUS	CNO_SECT_ENERGY_DELTAPLUS	Plus values for Energy Bins for CNO SECT	[bin_top] - [geometric mean] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Energy upper extent	support_data						log																			
ASTRO	CDF_FLOAT	1	0:[]	T/	OOOOO	psp_isois-epihi_l2-het-rates300	HET_A_SA	HET_A_SA	Nominal Parker spiral angle HETA	Angle between particle direction and nominal outward Parker spiral, based on 400km/s solar wind and corotation breakdown at 10Rs.	&#176;	0.0	180.0	0.0	180.0	-1.0e+31	Epoch	F5.1	SA	support_data	time_series					linear		position&gt;angle											HET_A_SA						
ASTRO	CDF_FLOAT	1	1:[25]	T/T	OOOOO	psp_isois-epihi_l2-het-rates300	HET_A_R17_SECT_SA	HET_A_R17_SECT_SA	Nominal Parker spiral angle HET A R17 SECT	Angle between particle direction and nominal outward Parker spiral, based on 400km/s solar wind and corotation breakdown at 10Rs.	&#176;	0.0	180.0	0.0	180.0	-1.0e+31	Epoch	F5.1	SA	support_data	time_series		HET_R17_SECTORS	HET_R17_SECTORS_LABL		linear		position&gt;angle											HET_A_R17_SECT_SA						
ASTRO	CDF_FLOAT	1	1:[25]	T/T	OOOOO	psp_isois-epihi_l2-het-rates300	HET_A_R17_SECT_PA	HET_A_R17_SECT_PA	HET_A_R17_SECT_PA	Pitch Angle for each direction bin.	&#176;	0.0	180.0	0.0	180.0	-1.0e+31	Epoch	F5.1	Pitch	support_data			HET_R17_SECTORS	HET_R17_SECTORS_LABL		linear		position&gt;angle											HET_A_R17_SECT_PA						
