Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	Fsnr2			H ENA Signal/Noise Ratio at 0.71 keV: Energy Channel 2 (0.52-0.95 keV H)	H ENA Signal/Noise Ratio in IBEX-Hi Energy Channel 2 (0.52-0.95 keV H) ~ 0.71 keV - mapped		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	Fsnr2_plasma			H ENA Signal/Noise Ratio at 0.71 keV: Energy Channel 2 (0.52-0.95 keV H)	---&gt; Above as X/Y image		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	Fvar2	(/cm2-s-sr-keV)^2		H ENA Flux Variance at 0.71 keV: Energy Channel 2 (0.52-0.95 keV H)	H ENA Flux Variance (/cm2-s-sr-keV)^2 in IBEX-Hi Energy Channel 2 (0.52-0.95 keV H) ~ 0.71 keV - mapped		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	Fvar2_plasma	(/cm2-s-sr-keV)^2		H ENA Flux Variance at 0.71 keV: Energy Channel 2 (0.52-0.95 keV H)	---&gt; Above as X/Y image		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	Cnts2			H ENA Total Counts at 0.71 keV: Energy Channel 2 (0.52-0.95 keV H)	H ENA Total Counts (#) in IBEX-Hi Energy Channel 2 (0.52-0.95 keV H) ~ 0.71 keV - mapped		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	Cnts2_plasma			H ENA Total Counts at 0.71 keV: Energy Channel 2 (0.52-0.95 keV H)	---&gt; Above as X/Y image		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	Fexp2	s		H ENA Exposure Time at 0.71 keV: Energy Channel 2 (0.52-0.95 keV H)	H ENA Exposure Time (sec) in IBEX-Hi Energy Channel 2 (0.52-0.95 keV H) ~ 0.71 keV - mapped		data											
Astro	CDF_REAL4	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	Fexp2_plasma	s		H ENA Exposure Time at 0.71 keV: Energy Channel 2 (0.52-0.95 keV H)	---&gt; Above as X/Y image		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	Numb2	#/pixel		Samples Per Pixel: Energy Channel 2 (0.52-0.95 keV H) ~ 0.71 keV	Samples per pixel averaged over 6 months in IBEX-Hi Energy Channel 2 (0.52-0.95 keV H) ~ 0.71 keV - mapped		data											
Astro	CDF_REAL8	1	2:[60,30]	T/TT	OOOOO	ibex_h3_ena_hi_r13_cg_nosp_antiram_1yr	Numb2_plasma	#/pixel		Samples Per Pixel: Energy Channel 2 (0.52-0.95 keV H) ~ 0.71 keV	---&gt; Above as X/Y image		data											
