cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	units	scalemin	scalemax	validmin	validmax	fillval	depend_0	format	lablaxis	var_type	display_type	coordinate_system	depend_1	labl_ptr_1	monoton	scaletyp	component_0	dict_key	depend_2	funct	labl_ptr_2	virtual	arr_dim	arr_index	chan_name	delta_minus_var	delta_plus_var	flux_ptr	mnemonic	si_conversion	species	time_base	time_scale	variable_purpose	v_parent
CDF_FLOAT	1	1:[25]	T/T	OOOOO	psp_isois-epihi_l2-let2-rates60	C_N_Rate	C_N_Rate	N count rate side C		s^-1	0.0	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	N rate C	data	spectrogram		N_ENERGY	N_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											C_N&gt;rate						
CDF_FLOAT	1	1:[25]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	N_ENERGY	N_ENERGY	Energy Bins for N		MeV/n			0.0	1000.0	-1.0e+31		F6.1	Energy	support_data				N_ENERGY_LABL		log										N_ENERGY_DELTAMINUS	N_ENERGY_DELTAPLUS		N_ENERGY						
CDF_CHAR	21	1:[25]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	N_ENERGY_LABL	N_ENERGY_LABL	N									A21		metadata																									
CDF_FLOAT	1	1:[25]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	N_ENERGY_DELTAMINUS	N_ENERGY_DELTAMINUS	Minus values for Energy Bins for N	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	N ENERGY DELTAMINUS	support_data						log																			
CDF_FLOAT	1	1:[25]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	N_ENERGY_DELTAPLUS	N_ENERGY_DELTAPLUS	Plus values for Energy Bins for N	[bin_top] - [geometric mean] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	N ENERGY DELTAPLUS	support_data						log																			
CDF_FLOAT	1	1:[3]	T/T	OOOOO	psp_isois-epihi_l2-let2-rates60	LET2_C_HCI	LET2_C_HCI	HCI flow direction LET2C	Unit vector, after Fraenz and Harper, PSS, 2002.		-1.0	1.0	-1.0	1.0	-1.0e+31	Epoch	F6.3	Direction [x,y,z] HCI	data	time_series			label_dir_HCI		linear		position&gt;direction											LET2_C_HCI						
CDF_FLOAT	1	1:[27]	T/T	OOOOO	psp_isois-epihi_l2-let2-rates60	C_Ne_Rate	C_Ne_Rate	Ne count rate side C		s^-1	0.0	1000.0	0.0	2.0e+07	-1.0e+31	Epoch	F10.1	Ne rate C	data	spectrogram		Ne_ENERGY	Ne_ENERGY_LABL		log		particle_flux&gt;differential_directional_number_rate											C_Ne&gt;rate						
CDF_FLOAT	1	1:[27]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Ne_ENERGY	Ne_ENERGY	Energy Bins for Ne		MeV/n			0.0	1000.0	-1.0e+31		F6.1	Energy	support_data				Ne_ENERGY_LABL		log										Ne_ENERGY_DELTAMINUS	Ne_ENERGY_DELTAPLUS		Ne_ENERGY						
CDF_CHAR	21	1:[27]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Ne_ENERGY_LABL	Ne_ENERGY_LABL	Ne									A21		metadata																									
CDF_FLOAT	1	1:[27]	F/T	OOOOO	psp_isois-epihi_l2-let2-rates60	Ne_ENERGY_DELTAMINUS	Ne_ENERGY_DELTAMINUS	Minus values for Energy Bins for Ne	[geometric mean] - [bin_bottom] of corresponding energy bin	MeV/n			0.0	1000.0	-1.0		F6.1	Ne ENERGY DELTAMINUS	support_data						log																			
