Data Product ID/Product Key	SPASE Resource ID Stub	DOI, full URL Format	Publication Date	Publisher	Authors
ISEE2_60SEC_MFI	NASA/NumericalData/ISEE2/MAG/PT1M	https://doi.org/10.21978/p8t923	1987-01-01T00:00:00	University of California, Los Angeles and NASA Space Physics Data Facility	Russell, Christopher T.
ISEE2_4SEC_MFI	NASA/NumericalData/ISEE2/MAG/PT4S	https://doi.org/10.21978/p8pg8v	1987-01-01T00:00:00	University of California, Los Angeles and NASA Space Physics Data Facility	Russell, Christopher T.
OMNI_COHO1HR_MERGED_MAG_PLASMA	NASA/NumericalData/OMNI/COHO/MergedMagPlasma/PT1H	https://doi.org/10.48322/6ffx-3441	2020-01-01T00:00:00	NASA Space Physics Data Facility	Papitashvili, Natalia E.; &amp; King, Joseph H.
OMNI_HRO_1MIN	NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT1M	https://doi.org/10.48322/45bb-8792	2020-01-01T00:00:00	NASA Space Physics Data Facility	Papitashvili, Natalia E.; &amp; King, Joseph H.
OMNI_HRO_5MIN	NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT5M	https://doi.org/10.48322/gbpg-5r77	2020-01-01T00:00:00	NASA Space Physics Data Facility	Papitashvili, Natalia E.; &amp; King, Joseph H.
OMNI_HRO2_1MIN	NASA/NumericalData/OMNI/HighResolutionObservations/Version2/PT1M	https://doi.org/10.48322/mj0k-fq60	2020-01-01T00:00:00	NASA Space Physics Data Facility	Papitashvili, Natalia E.; &amp; King, Joseph H.
OMNI_HRO2_5MIN	NASA/NumericalData/OMNI/HighResolutionObservations/Version2/PT5M	https://doi.org/10.48322/hkaw-ff03	2020-01-01T00:00:00	NASA Space Physics Data Facility	Papitashvili, Natalia E.; &amp; King, Joseph H.
	NASA/NumericalData/OMNI/P1D	https://doi.org/10.48322/5fmx-hv56	2020-01-01T00:00:00	NASA Space Physics Data Facility	Papitashvili, Natalia E.; &amp; King, Joseph H.
	NASA/NumericalData/OMNI/P27D	https://doi.org/10.48322/nmh3-jf75	2020-01-01T00:00:00	NASA Space Physics Data Facility	Papitashvili, Natalia E.; &amp; King, Joseph H.
OMNI2_H0_MRG1HR	NASA/NumericalData/OMNI/PT1H	https://doi.org/10.48322/1shr-ht18	2020-01-01T00:00:00	NASA Space Physics Data Facility	Papitashvili, Natalia E.; &amp; King, Joseph H.
PSP_FLD_L2_DFB_AC_BPF_DV12HG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/BandpassFilter/DV12/HighGain/PT0.873813S	https://doi.org/10.48322/y8gb-3n29	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Malaspina, David M.; Chasapis, Alexandros; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_AC_BPF_DV34HG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/BandpassFilter/DV34/HighGain/PT0.873813S	https://doi.org/10.48322/6nn3-ts64	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Malaspina, David M.; Chasapis, Alexandros; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_AC_BPF_SCMUMFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/BandpassFilter/SCM/MediumFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/be3k-1d62	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Chasapis, Alexandros; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_AC_BPF_SCMULFHG	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/BandpassFilter/SCM/U/LowFrequency/HighGain/PT0.873813S	https://doi.org/10.48322/6svt-vr86	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Dudok de Wit, Thierry; Malaspina, David M.; Chasapis, Alexandros; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
PSP_FLD_L2_DFB_DBM_DVAC	NASA/NumericalData/ParkerSolarProbe/FIELDS/DFB/Level2/AC/BurstMemory/DV/PT0.0068267S	https://doi.org/10.48322/6rwq-2e67	2020-01-01T00:00:00	NASA Space Physics Data Facility	Bale, Stuart D.; Malaspina, David M.; Goodrich, Katherine A.; Pulupa, Marc P.; Quinn, Timothy; &amp; Schroeder, Peter
