ASTRO	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	fieldnam	catdesc	var_notes	var_type	ucd	units	unit_ptr	detector	si_conversion	cadence	resolution	acc_time	time_base	time_scale	integration_time	depend_0	depend_1	depend_2	display_type	format	lablaxis	labl_ptr_1	label	coordinate_system	frame_origin	frame_velocity	reference_position	representation_1	representation_2	tensor_order	fillval	scalemax	scalemin	scaletyp	scaletype	validmax	validmin	bin_location	delta_minus_var	delta_plus_var	monoton
ASTRO	CDF_UINT2	1	1:[32]	T/T	OOOOO	solo_l1_rpw-tnr-surv	CROSS_R	CROSS_R	Real part of the cross-correlation between channel 1 and channel 2 signals	Real part of the cross-correlation between channel 1 and channel 2 signals	data												Epoch	FREQUENCY		time_series	I1.1	TNR CROSS_R										65535	65535	0	linear		65534	0				
ASTRO	CDF_UINT2	1	1:[32]	T/T	OOOOO	solo_l1_rpw-tnr-surv	CROSS_I	CROSS_I	Imaginary part of the cross-correlation between channel 1 and channel 2 signals	Imaginary part of the cross-correlation between channel 1 and channel 2 signals	data												Epoch	FREQUENCY		time_series	I5.5	TNR CROSS_I										65535	65535	0	linear		65534	0				
ASTRO	CDF_CHAR	16	1:[2]	F/T	OOOOO	solo_l1_rpw-tnr-surv	ACQUISITION_TIME_UNITS	ACQUISITION_TIME_UNITS	Label for ACQUISITION_TIME UNIT_PTR attribute		metadata																A16																					
ASTRO	CDF_CHAR	32	1:[2]	F/T	OOOOO	solo_l1_rpw-tnr-surv	ACQUISITION_TIME_LABEL	ACQUISITION_TIME_LABEL	Label for ACQUISITION_TIME		metadata																A32																					
ASTRO	CDF_CHAR	1	1:[4]	F/T	OOOOO	solo_l1_rpw-tnr-surv	BAND_LABEL	BAND_LABEL	Label for TNR band (A, B, C, D)		metadata																A3																					
ASTRO	CDF_CHAR	1	1:[2]	F/T	OOOOO	solo_l1_rpw-tnr-surv	CHANNEL_LABEL	CHANNEL_LABEL	Label for channel (1, 2)		metadata																A1																					
ASTRO	CDF_CHAR	8	1:[3]	F/T	OOOOO	solo_l1_rpw-tnr-surv	FRONT_END_LABEL	FRONT_END_LABEL	Label for FRONT_END		metadata																A8																					
ASTRO	CDF_CHAR	8	1:[4]	F/T	OOOOO	solo_l1_rpw-tnr-surv	TEMPERATURE_LABEL	TEMPERATURE_LABEL	Label for PA temperature		metadata																A8																					
ASTRO	CDF_CHAR	16	1:[15]	F/T	OOOOO	solo_l1_rpw-tnr-surv	RPW_STATUS_LABEL	RPW_STATUS_LABEL	Label for RPW status		metadata																A16																					
ASTRO	CDF_REAL8	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	SCET	Spaceraft Elapsed Time	Elapsed Time of the onboard clock	Spaceraft Elapsed Time	support_data		Ticks							Spacecraft onboard clock	Spacecraft onboard clock		Epoch					Spacecraft Elapsed Time (Ticks)						Spacecraft barycenter				-1.0e+31	6.45586e+08	6.45494e+08	linear		1.0e+31	0.0				INCREASE
ASTRO	CDF_UINT1	1	0:[]	T/	OOOOO	solo_l1_rpw-tnr-surv	SYNCHRO_FLAG	SYNCHRO_FLAG	Receiver time synchronisation flag	Flag to indicate if the receiver time is synchronised or not	support_data												Epoch			time_series	I1.1	Time sync. Flag										255	0	0	linear		1	0				
