Num	Metadata File Name	SPASE Resource ID from XML description	SPASE Revise	SPASE Review	Metadata Contact	Revision Note	Revised SPASE Resource ID	Review Notes
027	1654120450-PT0.5S.xml	GBO/NumericalData/McMAC/Americus/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL and one AccessURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
028	1654120558-PT0.5S.xml	GBO/NumericalData/McMAC/Bennington/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL and one AccessURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
029	1654120638-PT0.5S.xml	GBO/NumericalData/McMAC/Glyndon/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL and one AccessURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
030	1654120763-PT0.5S.xml	GBO/NumericalData/McMAC/Linares/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL and one AccessURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
031	1654120831-PT0.5S.xml	GBO/NumericalData/McMAC/Lyford/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL and one AccessURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
032	1654121266-PT0.5S.xml	GBO/NumericalData/McMAC/Purcell/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL and one AccessURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
033	1654121340-PT0.5S.xml	GBO/NumericalData/McMAC/Richardson/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL and one AccessURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
034	1654121441-PT0.5S.xml	GBO/NumericalData/McMAC/San.Antonio/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL and one AccessURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
035	1654121521-PT0.5S.xml	GBO/NumericalData/McMAC/Worthington/Magnetometer/PT0.5S	JMW	LFB	Lee.Frost.Bargatze	Updated one InformationURL URL and one AccessURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
036	1654121975-PT10S.xml	GBO/NumericalData/SECS/Magnetometer/SECS/PT10S	JMW	LFB		Deleted one InformationURL, updated two InformationURL URLs by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
037	1654122767-PT15S.xml	JAXA/NumericalData/Geotail/MGF/PT15S	JMW	LFB	Lee.Frost.Bargatze	Updated one AccessURL URL by JMW 2022-06-02, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724		
038	1654123474-UMD.xml	NASA/DisplayData/IMP8/EECA/UMD	JMW	LFB	Lee.Frost.Bargatze	Updated one AccessURL URL by JMW 2022-06-02, revised NumericalData ResourceID, added Prior ID, expanded the ResourceName, ResourceHeader Description, and AccessURL Name text fields, added Cadence and DisplayCadence text values, metadata updated to SPASE 2.4.1, reviewed by LFB 20220724	NASA/DisplayData/IMP8/EECA/UMD/P12D	
039	NASA/NumericalData/ACE/EPAM/SpacecraftFrame/SpinAveraged/Ion_Electron/CountRates/PT5M.xml	NASA/NumericalData/ACE/EPAM/SpacecraftFrame/SpinAveraged/Ion_Electron/CountRates/PT5M	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
040	NASA/NumericalData/ACE/EPAM/SpacecraftFrame/SpinAveraged/Ion_Electron/CountRates/PT1H.xml	NASA/NumericalData/ACE/EPAM/SpacecraftFrame/SpinAveraged/Ion_Electron/CountRates/PT1H	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
041	NASA/NumericalData/ACE/EPAM/SpacecraftFrame/SpinAveraged/Ion_Electron/CountRates/PT11.5S.xml	NASA/NumericalData/ACE/EPAM/SpacecraftFrame/SpinAveraged/Ion_Electron/CountRates/PT11.5S	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
042	NASA/NumericalData/ACE/EPAM/SpacecraftFrame/SpinAveraged/Ion_Electron/CountRates/P1D.xml	NASA/NumericalData/ACE/EPAM/SpacecraftFrame/SpinAveraged/Ion_Electron/CountRates/P1D	JMW	LFB	Lee.Frost.Bargatze	Added DOI and PublicationInfo minted by JMW, updated the DataProducer Person to Dennis K. Haggerty, metadata updated to SPASE 2.4.1, reviewed by LFB 20220730		
