									
SPASE_PERSON_RESOURCE_ID	FULL_NAME	FIRST_NAME	AUTHORS_GIVEN_NAME	FAMILY_NAME	INITIAL_NAME	AFFILIATION_NAME	AFFILIATION_ROR	MISSION_ACRONYM	NAME_PATTERN
SMWG/Person/Adam.Szabo	Adam Szabo	Adam	Adam	Szabo	A. Szabo	NASA Goddard Space Flight Center		Helios1 Helios2 IMP8 PioneerVenusOrbiter Ulysses Voyager1 Voyager2 Wind	N_N
SMWG/Person/Adolf.K.Best	Adolf K. Best	Adolf	Adolf, K.	Best	A.K. Best	Geoforschungszentrum Potsdam			N_I_N
SMWG/Person/Adolfo.Figueroa-Vinas	Adolfo Figueroa-Vinas	Adolfo	Adolfo	Figueroa-Vinas	A. Figueroa-Vinas	Goddard Space Flight Center		ISEE1	N_N
SMWG/Person/Adolph.J.Cervenka	Adolph J. Cervenka	Adolph	Adolph, J.	Cervenka	A.J. Cervenka	Unknown - formerly at High Altitude Observa			N_I_N
SMWG/Person/Adolph.S.Jursa	Adolph S. Jursa	Adolph	Adolph, S.	Jursa	A.S. Jursa	USAF Geophysics Laboratory			N_I_N
SMWG/Person/Adrian.A.Perachio	Adrian A. Perachio	Adrian	Adrian, A.	Perachio	A.A. Perachio	University of Texas Medical School			N_I_N
SMWG/Person/Adrian.F.Tuck	Adrian F. Tuck	Adrian	Adrian, F.	Tuck	A.F. Tuck	Meteorological Office			N_I_N
SMWG/Person/Adrian.Hitchman	Adrian Hitchman	Adrian	Adrian	Hitchman	A. Hitchman	Minerals and Natural Hazards Division Geoscience Australia			N_N
SMWG/Person/Ahmad.F.Ghais	Ahmad F. Ghais	Ahmad	Ahmad, F.	Ghais	A.F. Ghais	Mobile Satellite Users Association			N_I_N
SMWG/Person/Aidan.E.Roche	Aidan E. Roche	Aidan	Aidan, E.	Roche	A.E. Roche	Lockheed Palo Alto Research Laboratory			N_I_N
SMWG/Person/Aime.Soutoul	Aime Soutoul	Aime	Aime	Soutoul	A. Soutoul	Centre d&apos;Etudes Nucleaires de Saclay			N_N
SMWG/Person/Akio.Kanbayashi	Akio Kanbayashi	Akio	Akio	Kanbayashi	A. Kanbayashi	National Space Development Agency			N_N
SMWG/Person/Akira.Kadokura	Akira Kadokura	Akira	Akira	Kadokura	A. Kadokura	WDC-C2 for Aurora			N_N
SMWG/Person/Akira.Kasahara	Akira Kasahara	Akira	Akira	Kasahara	A. Kasahara	National Center for Atmospheric			N_N
SMWG/Person/Akira.Morioka	Akira Morioka	Akira	Akira	Morioka	A. Morioka	Tohoku University			N_N
SMWG/Person/Akira.S.Yukimatu	Akira Sessai Yukimatu	Akira	Akira, Sessai	Yukimatu	A.S. Yukimatu	Upper Atmosphere Physics Group, National Institute of Polar Research (NIPR)			N_N_N
SMWG/Person/Akira.Shibata	Akira Shibata	Akira	Akira	Shibata	A. Shibata	Meteorological Research Institute			N_N
SMWG/Person/Akiyoshi.Matsuzaki	Akiyoshi Matsuzaki	Akiyoshi	Akiyoshi	Matsuzaki	A. Matsuzaki	Institute of Space and Astronautical Scienc			N_N
SMWG/Person/Al.Butera	Al Butera	Al	Al	Butera	A. Butera	NOAA National Environmental Satellite			N_N
SMWG/Person/Alain.Berthoz	Alain Berthoz	Alain	Alain	Berthoz	A. Berthoz	CNRS Laboratoire de Physiologie			N_N
SMWG/Person/Alain.Hauchecorne	Alain Hauchecorne	Alain	Alain	Hauchecorne	A. Hauchecorne	French National Centre for Scientific Research			N_N
